id,created_at,name,restricted,transparency,intellectual_property,parallel_import,source,hard_gated,general_info,private_label
381,2025-05-16 07:47:18.061661+00,Al Haramain,true,,true,,1,,Avoid this brand at all costs. Very protective of their brand.,
382,2025-05-16 07:47:18.061661+00,Ameliorate,true,,true,,,,,
384,2025-05-16 07:47:18.061661+00,Anastasia Beverly Hills,true,,true,,,,,
385,2025-05-16 07:47:18.061661+00,Aromatherapy Associates,true,,true,,,,,
386,2025-05-16 07:47:18.061661+00,Australian Gold,true,,true,,,,,
387,2025-05-16 07:47:18.061661+00,Azzaro,true,,,,,true,,
388,2025-05-16 07:47:18.061661+00,Badger,true,,true,,,,,
389,2025-05-16 07:47:18.061661+00,Beauty Kitchen,true,,true,,,,,
390,2025-05-16 07:47:18.061661+00,Bellapierre,true,,,,,,,
391,2025-05-16 07:47:18.061661+00,Bellapierre Cosmetics,true,,,,,,,
392,2025-05-16 07:47:18.061661+00,BetterVits,true,,true,,,,,
393,2025-05-16 07:47:18.061661+00,Better You,true,,,true,,,,
394,2025-05-16 07:47:18.061661+00,Big Potato Games,true,,true,,,,,
395,2025-05-16 07:47:18.061661+00,Biocare,true,,true,,,,,
396,2025-05-16 07:47:18.061661+00,Bleach London,true,,true,,,,,
397,2025-05-16 07:47:18.061661+00,Bondi Sands,true,,true,,,,,
398,2025-05-16 07:47:18.061661+00,Boss,true,,,,1,true,,
399,2025-05-16 07:47:18.061661+00,Cacharel,true,true,true,true,,true,,true
400,2025-05-16 07:47:18.061661+00,Calrin,true,,true,,,,,
401,2025-05-16 07:47:18.061661+00,Calvin Klein,true,,,,1,true,,
402,2025-05-16 07:47:18.061661+00,Cameleo,true,,true,,,,,
403,2025-05-16 07:47:18.061661+00,CeraVe,true,,true,,,,,
404,2025-05-16 07:47:18.061661+00,Clarins,true,,,,,true,,
405,2025-05-16 07:47:18.061661+00,Clinisoothe+,true,,true,,,,,
406,2025-05-16 07:47:18.061661+00,CNP Professional,true,,,,,,,
407,2025-05-16 07:47:18.061661+00,Coach,true,,,,1,true,,
408,2025-05-16 07:47:18.061661+00,Color Wow,true,,,,,true,,
409,2025-05-16 07:47:18.061661+00,Coogles,true,,true,,,,,
410,2025-05-16 07:47:18.061661+00,Cosrx,true,,true,,,,Brand on the listing,
411,2025-05-16 07:47:18.061661+00,Cult Beauty,true,,true,,,,,
412,2025-05-16 07:47:18.061661+00,Dapper Dan,true,,,,,true,,
413,2025-05-16 07:47:18.061661+00,Davidoff,true,,,,,true,,
414,2025-05-16 07:47:18.061661+00,Dead Sea Collection,true,,true,,,,,
415,2025-05-16 07:47:18.061661+00,Dermaceutic,true,,true,,,,,
416,2025-05-16 07:47:18.061661+00,Dermalogica,true,,,,,true,,
417,2025-05-16 07:47:18.061661+00,Dermstore,true,,true,,,,,
