id,lc_name,name,url,reclaim_vat,vat_number,customer_service_email,qty_limit,order_limit,allow_resellers,vat_invoice_info,info
1,365 Games,365 Games,https://365games.co.uk/,Yes,GB419047401,contactus@365games.co.uk,,,,contact customer service,
2,7 Day Shop,7 Day Shop,https://www.7dayshop.com,Unknown,,support@7dayshop.com,,,,Order page,
3,A Place For Everything,A Place For Everything,https://www.aplaceforeverything.co.uk,Unknown,GB821678420,info@aplaceforeverything.co.uk,,,,,
4,A1 Toys,A1 Toys,https://a1toys.com/,Unknown,GB162595588,customerservice@a1toys.com,,,,,
5,Adidas,Adidas,https://www.adidas.co.uk,Unknown,GB468171526,,,,,,
6,Advanced Mp3 Players,Advanced MP3 Players,https://www.advancedmp3players.co.uk,Unknown,GB790281912,sales@advancedmp3players.co.uk,,,,Download from Order Page,
7,Affordable Nutrition,AFFORDABLE NUTRITION,https://www.affordablenutrition.co.uk,Unknown,,https://www.affordablenutrition.co.uk/contact-us/,,,,,
8,Aldi,ALDI,https://www.aldi.co.uk/,Unknown,GB813053468,https://help.aldi.co.uk/s/contact-form-online,,,,,
9,Alfresia,ALFRESIA,https://www.alfresia.co.uk/,Unknown,,support@alfresia.co.uk,,,,,
10,Alive And Dirty,ALIVE AND DIRTY,https://www.aliveanddirty.co.uk,Unknown,GB833912722,customerservice@aliveanddirty.co.uk,,,,Download from order page,
11,All Beauty,ALL BEAUTY,https://www.allbeauty.com,Unknown,,,,,,Contact Customer Support,
12,Alliance Online,ALLIANCE ONLINE,https://www.allianceonline.co.uk,Unknown,GB736619412,hello@​allianceonline.co.uk,,,,Email customer service,
13,All Outdoor,ALL OUTDOOR,https://www.alloutdoor.com/,Unknown,,,,,,,
14,Amara,AMARA,https://www.amara.com,Unknown,,,,,,,
15,Amazon,AMAZON,www.amazon.co.uk,Yes,GB727255821,https://www.amazon.co.uk/hz/contact-us/,No limit unless Amazon set one,3 orders per billing/delivery address for items on sale,true,Download from order page,When item goes on sale you can generally order only 3 times from 3 different accounts to the same billing/delivery address
16,American Golf,AMERICAN GOLF,https://www.americangolf.co.uk/,Unknown,GB308920406,https://aftersales.americangolf.co.uk,,,,,
17,Amos,AMOS,https://www.amos.co.uk/,Unknown,,https://amos.co.uk/pages/contact-us-1,,,,,
18,Angling,ANGLING,https://www.anglingdirect.co.uk/,Unknown,GB152140945,support@anglingdirect.co.uk,,,,,
19,Animed,ANIMED,https://www.animeddirect.co.uk/,Unknown,GB737145235,support@animeddirect.co.uk,,,,email invoice on the order confirmation,
20,Ao,AO,https://www.ao.com/,Yes,GB945698169,customerservices@ao-business.com,None,None,true,Download from order page,
21,Aosom,AOSOM,https://www.aosom.co.uk/,Unknown,GB103973325,service@aosom.co.uk,,,,contact the customer service center if you need an invoice in the electronic edition.,
22,Approved Food,APPROVED FOOD,https://www.approvedfood.co.uk,Unknown,GB721641069,cs@approvedfood.co.uk,,,,Contact  Customer Service,
23,Argos,ARGOS,https://www.argos.co.uk/,Yes,GB660454836,https://www.argos.co.uk/help/contact-us,None,None,true,"View E-receipt from Order page and provide information (Name,Company Name and Address). VAT E-receipt will be sent thru email shortly.",
24,Asda,ASDA,https://www.asda.com/,Unknown,GB362012792,https://asda-stores.custhelp.com/app/ask_asda_store_bought,,,,Email Customer Service,
25,Ask Direct,ASK DIRECT,https://www.askdirect.co.uk,Unknown,GB987129473,sales@askdirect.co.uk,,,,an invoice will be sent as an attachment with your Order Confirmation email to the email address that you provide.,
26,Asos,ASOS,https://www.asos.com/us/women/,Unknown,GB318425605,https://www.asos.com/customer-care/,,,,contact Customer Care Team with your VAT number and order no.,
27,Auna,AUNA,https://www.auna-multimedia.co.uk/,Unknown,DE814529349,https://www.auna-multimedia.co.uk/en/contact/,,,,contact Customer Service,
28,Austins,AUSTINS,https://www.austins-uk.com/,Unknown,GB140743588,sales@austins-uk.com,,,,only invoice provided is the one that is included with your order upon dispatch,
29,B&M,B&M,https://www.bmstores.co.uk/,Unknown,GB673583601,https://support.bmstores.co.uk/hc/en-gb,,,,retailer do not transact online,
30,B&Q,B&Q,https://www.diy.com/,Unknown,GB232555575,,,,,please call our general enquiries line on 0333 014 3098.,
31,Baababy,BAABABY,https://www.baababy.co.uk/,Unknown,,baa@baababy.co.uk,,,,email customer support,
32,Babys Mart,BABYS MART,https://www.babys-mart.co.uk,Unknown,GB357997578,sales@babys-mart.co.uk,,,,"Orders section on the website, or by checking the order confirmation email we send you once an order has been placed.",
33,Bargain Fox,BARGAIN FOX,https://bargainfox.com,Unknown,GB132656618,hello@bargainfox.com,,,,download from Order page,
34,Bargain Max,BARGAIN MAX,https://www.bargainmax.co.uk,Yes,GB136587975,support@bargainmax.co.uk,None,None,true,Email Supplier,
35,Bargain Buys,BARGAIN BUYS,https://www.bargainbuysforbusymums.co.uk/,Unknown,,https://www.bargainbuysforbusymums.co.uk/contact,,,,,
36,Barnitts,BARNITTS,https://www.barnitts.co.uk/,Unknown,,websales@barnitts.co.uk,,,,Contact Customer Service,
37,Base,BASE,https://www.base.com/,Unknown,,,,,,Order page,
38,Beanie Games,BEANIE GAMES,https://www.beaniegames.co.uk/,Unknown,GB186257085,https://www.beaniegames.co.uk/contact-us-i3,,,,A VAT invoice is enclosed with your package and can also be accessed from your account page on our website. If you are unable to locate the VAT invoice then please email us and we will arrange for a copy to emailed over.,
39,Beauty Bay,BEAUTY BAY,https://www.beautybay.com,Unknown,GB927197591,customer.services@beautybay.com,,,,email customer service,
40,Beauty Boat,BEAUTY BOAT,https://beautyboat.com,Unknown,,info@beautyboat.com,,,,,
41,Beauty Outlet,BEAUTY OUTLET,https://www.beautyoutlets.co.uk,Unknown,GB187856052,cs@beautyoutlets.co.uk,,,,Email Customer Service,
42,Beauty Bay,BEAUTY BAY,https://www.beautybay.com/,Unknown,,,,,,Email Customer Service,
43,Beauty Expert,BEAUTY EXPERT,https://www.beautyexpert.com/,Unknown,,https://www.beautyexpert.com/help-centre.list,,,,Contact Customer service,
44,Beauty Flash,BEAUTY FLASH,https://www.beautyflash.co.uk/,Unknown,,https://www.beautyflash.co.uk/contact,,,,Invoice will be sent thru email once order has been dispatched,
45,Beauty Kit,BEAUTY KIT,https://www.beautykit.co.uk/,Unknown,,https://www.beautykit.co.uk/contacts/,,,,,
46,Better Vits,Better Vits,https://bettervits.co.uk/,No,GB395814455,care@bettervits.co.uk,3,1 Per Day Recommended,false,They wont issue one unless you are proven to not be reselling and are in the fitness/health industry,"Do not like resellers, will threaten to hold your money (and will actually do it if your a repeat offender) if you order and they think you are a reseller. Stay under the radar if you plan on ordering"
47,Beyond Beautiful,BEYOND BEAUTIFUL,https://www.beyondbeautiful.com,Unknown,GB904535144,support@treatyourskin.com,,,,"dispatched VAT invoices are available, you can download this or we can send it to you a a PDF",
48,Bhl,BHL,https://bhl.co.uk/,Unknown,GB173123979,sales@bhl.co.uk,,,,email customer service,
49,Big Green Smile,BIG GREEN SMILE,https://www.biggreensmile.com,Unknown,GB879296060,customerservices@biggreensmile.com,,,,Invoice sent thru email or download in Order Page,
50,Big On Electricals,BIG ON ELECTRICALS,https://www.electricalsonline.co.uk,Unknown,,https://www.electricalsonline.co.uk/contact,,,,"Invoice sent thru email ",
51,Bitiba,BITIBA,https://www.bitiba.co.uk/,Unknown,DE249236792,https://support.bitiba.co.uk/en/support/home,,,,invoice will be sent thru email or under Order section,
52,Bits And Pieces,BITS AND PIECES,https://www.bitsandpiecesuk.co.uk,Unknown,,customerserviceuk@bitsandpieces.com,,,,,
53,Bodybuilding,BODYBUILDING,https://uk.shop.bodybuilding.com,Unknown,,,,,,,
54,Body Shop,BODY SHOP,https://www.thebodyshop.com/,Unknown,GB543938615,https://support-gb.thebodyshop.com/hc/en-gb,,,,Go to chat box and request for invoice,
55,Boots,BOOTS,https://www.boots.com/,Yes,GB116300129,https://www.boots.com/contact-us,,,false,"Will issue VAT invoices but will make you wait, might have to chase them",
56,Bosch,BOSCH,https://www.bosch-home.co.uk/,Unknown,GB108311845,https://www.bosch-home.co.uk/customer-service/contact-us,,,,,
57,Box,BOX,https://www.box.co.uk/,Unknown,GB177912768,https://www.box.co.uk/contact-us,,,,invoice will be sent via email once item has been purchased,
